# Reverse Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_ind

2.46412e+06 	 18.2741 	 35.7707 	 5.72523 	 4541.22 	 0.365205 	 185.588 	 1.27658e+48 	 6.9802e+18 	 3.30509e+14 	 346
2.47483e+06 	 18.4299 	 36.0642 	 5.68939 	 4523.65 	 0.359427 	 185.233 	 1.27267e+48 	 6.99764e+18 	 3.25904e+14 	 347
2.48561e+06 	 18.5874 	 36.3598 	 5.6545 	 4507.31 	 0.353971 	 184.879 	 1.26912e+48 	 7.01254e+18 	 3.2157e+14 	 348
2.49644e+06 	 18.7464 	 36.6577 	 5.61885 	 4489.52 	 0.348303 	 184.527 	 1.26515e+48 	 7.03119e+18 	 3.17025e+14 	 349
2.50732e+06 	 18.907 	 37.162 	 5.61956 	 4529.89 	 0.352993 	 183.67 	 1.27408e+48 	 6.83903e+18 	 3.22793e+14 	 350
2.51824e+06 	 19.0691 	 37.4644 	 5.58375 	 4511.38 	 0.34723 	 183.325 	 1.26997e+48 	 6.8594e+18 	 3.1812e+14 	 351
2.52922e+06 	 19.2329 	 37.7691 	 5.54845 	 4493.46 	 0.341657 	 182.982 	 1.26602e+48 	 6.87879e+18 	 3.13602e+14 	 352
2.54025e+06 	 19.3984 	 38.0761 	 5.51296 	 4474.95 	 0.336051 	 182.64 	 1.26191e+48 	 6.89991e+18 	 3.09034e+14 	 353
2.55128e+06 	 19.5651 	 38.5931 	 5.51286 	 4513.73 	 0.340334 	 181.806 	 1.27052e+48 	 6.71663e+18 	 3.14408e+14 	 354
2.56235e+06 	 19.7334 	 39.1136 	 5.51128 	 4550.37 	 0.344219 	 180.984 	 1.27855e+48 	 6.54469e+18 	 3.19442e+14 	 355
2.57347e+06 	 19.9034 	 39.4267 	 5.47569 	 4530.85 	 0.338449 	 180.654 	 1.27425e+48 	 6.56755e+18 	 3.14661e+14 	 356
2.58464e+06 	 20.0751 	 39.7422 	 5.44062 	 4511.92 	 0.332872 	 180.325 	 1.27012e+48 	 6.58948e+18 	 3.10039e+14 	 357
2.59586e+06 	 20.2485 	 40.2731 	 5.43823 	 4547.16 	 0.336436 	 179.521 	 1.27785e+48 	 6.42538e+18 	 3.14763e+14 	 358
2.60712e+06 	 20.4236 	 40.5933 	 5.40256 	 4526.73 	 0.330639 	 179.199 	 1.27334e+48 	 6.45051e+18 	 3.09895e+14 	 359
2.61844e+06 	 20.6004 	 40.916 	 5.3675 	 4507.06 	 0.325061 	 178.878 	 1.26904e+48 	 6.47441e+18 	 3.05213e+14 	 360
2.6298e+06 	 20.7789 	 41.4573 	 5.36419 	 4540.65 	 0.328271 	 178.092 	 1.27641e+48 	 6.31809e+18 	 3.09589e+14 	 361
2.64121e+06 	 20.9592 	 41.7847 	 5.329 	 4520.23 	 0.32262 	 177.777 	 1.27194e+48 	 6.3435e+18 	 3.04799e+14 	 362
2.6526e+06 	 21.1409 	 42.3323 	 5.32503 	 4552.51 	 0.325578 	 177.004 	 1.27899e+48 	 6.19429e+18 	 3.08936e+14 	 363
2.66406e+06 	 21.3244 	 42.6639 	 5.28995 	 4531.62 	 0.319913 	 176.695 	 1.27444e+48 	 6.22052e+18 	 3.04091e+14 	 364
2.67555e+06 	 21.5097 	 43.2189 	 5.28561 	 4563.31 	 0.322743 	 175.935 	 1.28139e+48 	 6.07672e+18 	 3.08107e+14 	 365
2.6871e+06 	 21.6968 	 43.5554 	 5.24989 	 4540.79 	 0.316858 	 175.632 	 1.27641e+48 	 6.10616e+18 	 3.03011e+14 	 366
2.69869e+06 	 21.8857 	 44.1177 	 5.24561 	 4572.58 	 0.319683 	 174.885 	 1.28345e+48 	 5.96605e+18 	 3.07018e+14 	 367
2.71033e+06 	 22.0765 	 44.4592 	 5.20988 	 4549.49 	 0.313774 	 174.588 	 1.27835e+48 	 5.99645e+18 	 3.01856e+14 	 368
2.72201e+06 	 22.2691 	 45.029 	 5.20433 	 4579.01 	 0.316183 	 173.853 	 1.28481e+48 	 5.86439e+18 	 3.0546e+14 	 369
2.73374e+06 	 22.4636 	 45.3754 	 5.16934 	 4556.67 	 0.310478 	 173.561 	 1.27996e+48 	 5.89323e+18 	 3.00453e+14 	 370
2.74551e+06 	 22.66 	 45.9527 	 5.16328 	 4585.22 	 0.312704 	 172.838 	 1.2862e+48 	 5.76636e+18 	 3.03873e+14 	 371
2.75718e+06 	 22.8573 	 46.7612 	 5.18632 	 4665.64 	 0.323075 	 171.701 	 1.30379e+48 	 5.4948e+18 	 3.1603e+14 	 372
2.76891e+06 	 23.0566 	 47.1136 	 5.15032 	 4640.34 	 0.316845 	 171.421 	 1.29824e+48 	 5.52721e+18 	 3.10441e+14 	 373
2.7807e+06 	 23.2579 	 47.7008 	 5.14375 	 4668 	 0.318924 	 170.725 	 1.30432e+48 	 5.41266e+18 	 3.13752e+14 	 374
2.79252e+06 	 23.4611 	 48.0583 	 5.10765 	 4641.94 	 0.312655 	 170.45 	 1.29859e+48 	 5.44628e+18 	 3.08081e+14 	 375
2.8044e+06 	 23.6664 	 48.6531 	 5.10065 	 4668.67 	 0.314564 	 169.765 	 1.30447e+48 	 5.33586e+18 	 3.11213e+14 	 376
2.81631e+06 	 23.8735 	 49.0159 	 5.06502 	 4642.87 	 0.308431 	 169.494 	 1.29884e+48 	 5.3689e+18 	 3.05633e+14 	 377
2.82827e+06 	 24.0827 	 49.6183 	 5.05683 	 4667.26 	 0.309937 	 168.82 	 1.30412e+48 	 5.26482e+18 	 3.08353e+14 	 378
2.84028e+06 	 24.294 	 49.9863 	 5.02123 	 4640.93 	 0.303814 	 168.554 	 1.29837e+48 	 5.29869e+18 	 3.02738e+14 	 379
2.85232e+06 	 24.5072 	 50.5964 	 5.01287 	 4664.79 	 0.305226 	 167.889 	 1.30356e+48 	 5.1976e+18 	 3.05349e+14 	 380
2.86441e+06 	 24.7225 	 51.2108 	 5.00449 	 4688.7 	 0.306643 	 167.232 	 1.3088e+48 	 5.09919e+18 	 3.07971e+14 	 381
2.87653e+06 	 24.9397 	 51.5866 	 4.96903 	 4661.69 	 0.300508 	 166.974 	 1.30292e+48 	 5.13349e+18 	 3.02277e+14 	 382
